trial_id,condition,topic,difficulty,question_type,question_text,latency_seconds,parse_success,empty_output,validation_retries_used,predicted_level,level_match,level_confidence,queries_fired,total_retrieved,unique_after_dedup,selected_by_mmr,avg_relevance_score,validator_decision,validator_overall_score,validator_failure_count,failed_validators,validator_details
filesystem_remember_A_0,A,file systems,remember,mcq,What function does the lseek() system call perform on a pipe or socket?,4.946672677993774,True,False,0,easy,True,0.6653501391410828,1,0,0,0,0.0,flag,0.5432751715183258,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_A_1,A,file systems,remember,mcq,What type of files is the lseek() function unable to seek on?,7.25306510925293,True,False,0,easy,True,0.6513599157333374,1,0,0,0,0.0,flag,0.6021491587162018,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_A_2,A,file systems,remember,mcq,What is represented by a file descriptor (fd) in the context of a file system?,6.784581899642944,True,False,0,easy,True,0.9063689708709717,1,0,0,0,0.0,flag,0.6418167233467102,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_B_0,B,file systems,remember,mcq,How does the lseek() system call behave on seekable streams?,6.988901138305664,True,False,0,medium,False,0.48553547263145447,1,0,0,0,0.0,flag,0.5497213125228881,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_B_1,B,file systems,remember,mcq,"How does the lseek() function behave when repositioning a file offset for a file, a pipe, and a socket respectively?",7.902125120162964,True,False,0,medium,False,0.46601906418800354,1,0,0,0,0.0,flag,0.5120169520378113,2,"V2,V3","BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.954): 'Fails on files and pipes, succ...' ~ 'Fails on regular files, succee...'"
filesystem_remember_B_2,B,file systems,remember,mcq,What is stored in an inode in the context of a file system?,7.039961099624634,True,False,0,easy,True,0.9031544923782349,1,0,0,0,0.0,flag,0.5818197011947632,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_C_0,C,file systems,remember,mcq,How does the lseek() function handle non-seekable streams such as pipes and sockets?,7.753164529800415,True,False,0,easy,True,0.5348844528198242,1,0,0,0,0.0,flag,0.604,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_C_1,C,file systems,remember,mcq,What type of metadata is stored in an inode?,6.919831275939941,True,False,0,easy,True,0.8732250928878784,1,0,0,0,0.0,flag,0.558,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_remember_C_2,C,file systems,remember,mcq,Describe how an inode stores metadata related to a file in a file system.,7.79663610458374,True,False,0,easy,True,0.5888350009918213,1,0,0,0,0.0,flag,0.575,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_apply_A_0,A,file systems,apply,mcq,"How does the file system abstract secondary storage, and what are the key components of an inode?",6.1036951541900635,True,False,0,easy,False,0.6786541938781738,1,0,0,0,0.0,flag,0.5437176942825317,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.902): 'Secondary storage is abstracte...' ~ 'Secondary storage is abstracte...'
filesystem_apply_A_1,A,file systems,apply,mcq,What is represented by a file descriptor (fd) and where is it stored?,7.877034902572632,True,False,0,easy,False,0.7993919253349304,1,0,0,0,0.0,flag,0.5506376087665558,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
